daughter	day
you're welcome	walay sapayan
no	shodi
be quiet	shodi abas
boy	ekal
shuffling	pagsaksak
knee-deep	tagatuhod
neckdeep	tagaliog
surname	Aguas
whale shark	butanding
co-op	kooperatiba
roll out	bukhad
pale	luspad
fade	kuspad
fade	kuspaw
fish	mangisda
sodomy	sodomiya
describable	matukib
detailed	detalyado
mystical	mistika
spiritual	espirituhanon
spiritual	espiritohanon
stall	manokan
stall	siomaian
shumai	siomai
smooth	shomoy
smooth	siyumoy
stall	siopaoan
egg roll	ngohiong
stall	ngohiongan
stall	siomayan
stall	siopawan
barbecue	barbekyu
stall	barbekyuhan
stall	kandingan
spiritual	espiritwal
spiritual	espirituwal
feast	pakals
feast	pakal
gobble	habhab
crumb	mumho
plant	planteran
point	pagpanion
surname	Ramas
surname	Sencil
surname	Vestil
surname	Batuto
surname	Comendador
surname	Sinadjan
surname	Suaring
surname	Teves
surname	Montebon
nine	nuwebe
surname	Ferolino
surname	Batistil
surname	Mondejar
surname	Enad
manner	tinubagan
answer back	tubag-tubag
answer	tubag
blister	tubigtubig
onion	bombay
foreigner	forenjer
gunshot	samad pinusilan
gunshot	pinusilan
fond	hingatulog
fond	hinam-is
rustle	kasikas
spouse	kapikas
ask	kutana
plane	lasyador
plane	sipilya
employed	masyador
betting	masyada
odds-on	inilog
surname	Lumbab
surname	Estomata
feasible	mahimo
feasible	pwede
feasible	puydi
scorpion	banayaw
crying	palahilak
make time	gayon
player	tigdula
player	manulaay
player	magdudula
island	Basilan
dahlia	dalya
orchid	orkids
gargle	alimugmog
gargle	limugmog
spit out	bugwak
expression	susmarisep
sill	kurdiso
Timaliidae	gaasgaas
peck	tuhik
peck	tusik
pandiculate	huyatid
pandiculation	pagpanghuyatid
yawning	pagpanghuy-ab
blow one's nose	sikma
blow one's nose	sinikmahan
area	kabulihan
dumb	kwanggol
dumb	kuwanggol
overgrown	malibon
move	bakay
resolve	resolbar
settle	husay
peace	kahusayan
peace	pagdait
peace	kalinawan
calm	malinawon
pool	linaw
pool	lim-aw
seawater	tubig dagat
water	tubig puso
surname	Lamoste
scientist	sayantis
scientist	sayantist
apply	aplay
contraband	kontrabando
employee	trabahante
hand over	tunol
surname	Rondario
surname	Tabar
surname	Fontanoza
surname	Fullido
surname	Nogra
surname	Abadingo
surname	Luym
surname	Plaridel
suck	supsop
surname	Maramara
surname	Cabaron
surname	Delos Santos
surname	Abayabay
wrap	agbay
bend	liko
giant fish	kugtong
gold	buwawan
tarp	trapal
leg	bitiis
stab wound	samad dinunggaban
stab wound	dinunggaban
place	butanganan
hospitalization	pagpaospital
move	irog
move	isbog
move	iswag
romantically attract	ibog
folded	pinilo
clothes	plinantsa
clothes	hinanger
crockery	hugasan
washing	hugasanan
surname	Catipay
surname	Saromines
surname	Dacua
surname	Nacua
surname	Ylaya
surname	Magos
surname	Fegarido
surname	Pegarido
surname	Dakoykoy
surname	Guyos
surname	Basubas
surname	Metante
surname	Bejoc
surname	Bejec
Calophyllum inophyllum	bitaog
walk	bakaang
knock-kneed	kimpion
thorough	hingpit
thorough	himpit
surname	Tuico
slave	ulipon
surname	Alipon
surname	Perpetua
surname	Tantoy
farmer	magdadaro
method	paagi
surname	Unabia
surname	Ursabia
strong	malig-on
surname	Suizo
hear	kadungog
comprehend	kasabot
see	kakita
location	katuod
palm	dapal
taclobo	dagatan
direct	tultol
know	hibalo
pen name	dagmay
smooth	hanoy
smooth	lanoy
vertical	pabarog
dear	palangging
dear	palangga
love	pangga
dear	langga
loved	pinangga
loved	pinalangga
revenge	baos
friend	migo
cyberspace	dagitwanang
internet	dagitpukot
polygon	dagiway
spy	espiya
until	kutob
excessive	pasagad
excessive	patuyang
resident	lumulupyo
resident	molupyo
butterfly knife	batangas
cellular phone	tangkilepono
flick	litik
nape	tingkoy
gently	mahinay
harvest	sanggi
gangster	sanggano
lemon basil	sangig
mix	sambog
surname	Capalaran
surname	Mirabuena
surname	Mirabueno
surname	Ongcoy
Leyte	Southern Leyte
tripe	tongol
deception	pagpanikas
surname	Lagrimas
parishioner	parokyano
politick	pamolitika
political	politikanhon
politicking	pagpamolitika
tired	gikapoy
sway	labyog
surname	Urot
effeminate male homosexual	darna
fan	Noranian
fan	noranian
fan	Sharonian
fan	sharonian
fan	Vilmanian
mischievousness	kasipat
surname	Quiamco
snore	palahagok
uncooked	kilaw
surname	Batiller
surname	Barz
grill	sugbaan
griller	tigsugba
haunt	hamok
haunted	hamokan
meeting place	abtanan
surname	Monsales
surname	Catarig
surname	Dela Rama
surname	Gayatin
sigbin	sigbinan
take	baklay
humanoid	tudtod
humanoid	dawende
quilted garment	baluti
mausoleum	pantiyon
cause	namatyan
death	mamatyan
die	pakamatyan
commit suicide	pakamatay
suicide	pagpakamatay
sow	luyong
surname	Perico
surname	Malait
surname	Olinares
surname	Verdida
surname	Masong
surname	Besavilla
surname	Tipait
thunder	dalugdog
All Souls' Day	Adlaw sa mga Patay
All Souls' Day	Adlaw sa mga Kalag
All Souls’ Day	kalag-kalag
look upwards	yahat
look up	hangad
crouch	guko
term	terminolohiya
colonialism	kolonyalismo
good-looking	hitsuraan
good-looking	itsuraan
woman	parahaya
sob	bakho
sobbing	pagbakho
cut	ginunting
scissors	ginuntingan
ricefield	basak
main lateral root	dalid
baptise	bunyagan
baptised	binunyagan
baptised	nabunyagan
give	nganlan
give	panganlan
proper noun	pangpiho
common noun	pangsagaran
collective noun	panghugpong
abstract noun	lunap
concrete noun	kabatyag
count noun	pangihap
mass noun	paningob
grammatical gender	kinatawhan
certain	piho
bind	hugpong
notice	batyag
sum	tingob
spot	tulbok
gray	ubanon
Phapitreron leucotis	alimukon
fantail	ananakyod
olive-backed sunbird	siwit
olive-backed sunbird	tamsi
endemic	anghiliw
endemic	antulihaw
endemic	damudlaw
ladyfish	bidbid
endemic	baliala
swift	butabuta
raft	gakit
swallow	layanglayang
house sparrow	paripari
house sparrow	langgam pari
house sparrow	bilitsina
coleto	sal-ing
coleto	iling
poetry	pamalak
west wind	kanaway
zebra dove	kurukutok
zebra dove	kurukuko
cuckoo	kukok
snipe	magak
Loriculus philippensis	kulasisi
Asian koel	kuwahaw
Haliaeetus leucogaster	manaol
Chalcophaps indica	manatad
twenty	kawhaan
owl	manhak
Tyto longimembris	ngiwngiw
gill	hasang
Philippine eagle	tipuli
Philippine cuckoo-dove	tukgaw
vermin	ambaw
ignite	dagkot
summit	pungkay
elevation	habog
Microhierax erythrogenys	sigong
Butastur indicus	tikwi
sexual intercourse	magtagay sa kalipay
sexual intercourse	molayag sa kalipay
hoarse	lagsaw
life-buoy	salbabida
barley	sebada
chamber	sigin
penalty	silot
deer	binaw
rail	ababakuwa
brown shrike	tibas
egret	tabong
egret	tulabong
Asian koel	pahaw
endemic	kasaykasay
white-throated kingfisher	uwak bata
karaoke	videokehan
karaoke	videoke
karaoke	bidyoke
karaoke	bidyokehan
opinion	tan-aw
coconut	butong
knock-kneed	pingki
herd boar	butakaw
common house gecko	taluto
common house gecko	tawuto
deportment	barog
rise	tindog
vertical	pinatindog
stance	tinindogan
stance	binarogan
stand	baroganan
monitor lizard	hawo
junglefowl	manok ihalas
chicken	manok bisaya
saltwater crocodile	banghitaw
Viverra tangalunga	singgawong
Viverra tangalunga	tinggalong
Viverra tangalunga	tinggawong
dragon	sigawa
of course	but of course sa Rosita's
I don't care	I don't care, imong mama dancer
long time	dugay
coconut	dalinog
anger	kayasa
wedding sponsor	amaon
coconut	kagay
pierced	matunok
piercing	makatunok
dumbness	makabugo
confusing	makalibog
cross-eye	makalibat
good-looking	makagwapa
good-looking	makagwapo
submerged	pasil
hang	sab-ong
activist	aktibista
bone bulge	buol
tortoise	iwon
Suncus murinus	taligatos
kangaroo	amamayon
catfish	tambangungo
freckle	tumtom
piercing	idlot
graze	saghid
hang	sab-it
hang	kaw-it
leafy	dahonon
flowering	mamuwak
flowering	mamulak
flower	mabuwakon
action	pagpamuwak
action	pagpamulak
fragrance	alimyon
fragrance	kahumot
breeze	huyuhoy
breeze	hutuhot
spice	panakot
masseur	manghihilot
field	humayan
field	maisan
unhusked rice	tipasi
farmer	mag-uuma
milled rice	bugas humay
cornmeal	bugas mais
store	bugasan
maize	minaisan
narrow	hagip-ot
narrow	salip-ot
trafficker	tigpayuhot
traffic	payuhot
sneak	yuhot
guile	lansis
deceive	lingla
deceive	limbong
materialistic	nawong og kwarta
hang laundry	sampay
pressurized	ayda
pressurized	hasag
criticize	batikos
heavenly body	lawangitan
constellation Cancer	Alimango
Pleiades	Amupo
Pleiades	Amupulo
constellation Orion	Balatik
constellation Scorpio	Silib
constellation Taurus	Tabalong
constellation Capricorn	Mulupulo
constellation Sagittarius	Sulang
constellation Gemini	Binkit
planet Venus	Kapanusan
constellation Cygnus	Manok
Little Dipper	Butiti
Big Dipper	Lusong
North Star	Magsukob
pole	tado
North Pole	Tado sa Amihanan
South Pole	Tado sa Habagatan
galaxy	kapunawan
universe	kapunawpunawan
universe	uniberso
Aldebaran	Talakos
equinox	kilingan
anger	atot
slack-water	ayaay
houseboy	atsoy
housemaid	atsay
member	sakop
constellation Aquarius	Tigsag-ob
constellation Libra	Timbangan
planet Jupiter	Bungad
Milky Way Galaxy	Lagnason
Milky Way Galaxy	Dalawda
Equator	tungalibotan
Equator	ekwador
cosmos	lukopngatanan
dried fish	buwad isda
dried fish	bulad isda
dried fish	buwad nukos
dried fish	bulad nukos
buttocks	sampot
tailbone	bangkawbangkaw
anal sex	luvey
healthy	baskog
mighty	kusgan
muscle	kusog
sleep	gakinabog
international	internasyonal
native	Mandauehanon
Argao	Argaoanon
native	Carcaranon
native	Siquijodnon
Bohol	Bol-anon
Spain	Katsila
moccassin	mokasin
uneducated	walay grado
smell	simhot
pace	dinaganan
gait	linakwan
gait	linaktan
conspicuous	bantang
avoid	lihay
overshoot	saylo
forgive	pasaylo
forgiveness	kapasayloan
forgiveness	mangayog pasaylo
forgiveness	mangayog kapasayloan
pregnant	salbador del mundo
red	buyogon
mongrel	irong bisaya
manliness	pagkalalaki
femininity	pagkababaye
surname	Dela Cuesta
surname	Del Castillo
surname	Dela Vega
adopted	sinagop
adoption	pagpanagop
slapping	pagpanagpa
hunt	mangahoy
firewood	pagpangahoy
fish	mamasol
fish	managat
fish	mamukot
comfortable	haruhay
pungency	kahalang
pungency	gihalangon
saltiness	kaparat
saltiness	kaparaton
sweetness	katam-ison
blandness	katab-angon
blandness	katab-ang
bland	tab-ang
washy	lapsaw
washy	lasaw
bland	lad-ang
bland	las-ay
flavorless	agsab
sour	aplod
foreskin	yamis
cease	lunay
duster	daster
nipple	atngal
awkward	bakikaw
awkward	bakiwag
surname	Laforteza
surname	Cataga
surname	Cahoy
surname	Combate
pitchfork	horka
slanting	hirig
slanting	hilig
fall	tagak
tricycle	tora tora
tricycle	tora-tora
crash	sampak
bulging	sigag mata
bulging	dakog mata
prostitute	burikat sa Pasil
beach	lihay-lihay beach
beach	likay-likay beach
admire	belib
shotgun	pugakhang
pelt	rakrak
rainy season	ting-uwan
rainy season	ting-ulan
cloud	gan-od
lecherous	uwagan
advancement	kauswagan
lust	uwag
promote	uswag
surname	Pasia
fare badly	wala manimaho
smell	manimaho
sunglasses	rayban
sharpshooter	hinigo
ball hog	kabad
basket	bukag
basket	kay-a
coconut meat	linubian
soldier	sundawo
participation	partisipasyon
noble	dugong bughaw
loanword	pulong hinuwaman
loanword	pulong hinulaman
archipelagic	mapuloanon
hair	gubhay
chew	gus-ap
macapuno	makapuno
copra	kopras
real	tunay
instruct	tugon
bent	baliko
oar	gaod
gazette	gaset
misshapen	gay-ot
misshapen	pigit
misshapen	luyot
tell it to the marines	ipanabi na sa clouds
what	untwa
curse	himaraot
sardines	nakalugsong
lead character	nagadala
lead character	nagdala
payao	payaw
stolen	makawat
cry	moayaw
baby suck	mangayo og manghod
bad-mannered	walay batasan
bad-mannered	walay bilatasan
manners	pamatasan
coconut	manananggot
liar	bakakon
unplug	hulbot
disclose	butyag
fellow man	isigkaingon
fellow man	isigkatawo
intelligent	gamayg utok
prostitute	mubog lupad
soft	humok
prostitute	babaye nga mubog lupad
prostitute	langgam nga mubog lupad
overplucked	kilay 2000
boastful	hambog
ugly	ngil-ad
tell it to the marines	loslos
noisy	basag baba
stage	tablado
difficult	lisod
colleague	kauban
wrest	kailog
kiss	kakiss
pull out	ibot
blenny	palog
empty	hurot
goby	isdang bugo
off	pawong
shut	piyong
precipice	kantil
underwater cliff	kantilado
plug	saksakanan
relieve	maibtan sa tunok
unstoppable	kapugngan pa ang baha, dili ang biga
improbable	ngitngit pa sa alkitran
dish	kinan-an
eating	kan-anan
diet	kinaon
imposing	tahor
respected	tinahod
antler	bagot
heretic	irihis
religious	relihiyosa
seminarian	parionon
sacristan	sakristan
chosen	pinili
muggy	alingiing
humid	alibango
mind	salabutan
money	wawarts
sleep	tugsay
binocular	largabista
land	tugpa
sleepless	walay tugpa
table	wala katugpa
airport	landinganan
parking lot	parkinganan
carnapper	karnaper
in your face	imong nawong
print	printahanan
repair	ayohanan
mountainous	bukiran
luster	kasilaw
Alicante	Alcoy
homeless	libod suroy
homeless	libot suroy
around	libod
roll up	likit
rolled up	linikit
jiggle	kitiw
jiggle	kitoy
stirring	kisaw
hardness	kagahi
softness	kahumok
experience	kaagi
couple	mag-uyab
couple	manag-uyab
shooting	pagpamusil
carnapping	pagpangarnap
feeding	pagpakaon
eating	pagpangaon
swallow	pagtulon
beside	tupad
ricefield	banika
plane	takumba
lean-to	tinakumba
die	taliwan
dying	pagtaliwan
copier	kopyador
plagiarize	mangopyahay
Tagalog puti	Tagalog putig itlog, nalumos tagaliog
in your face	lamya na
sticker	papilit
marble	jolen
wave	galana
waiter	witer
heavy rain	nawili ang patay
heavy rain	nawili ang minatay
wasteful	usikan
noisy	basa og baba
pang	hilab
offload	habwa
discharge	diskarga
offload	hinabwa
encounter	tagbo
light	kahayag
illuminate	iwag
methodical	hapsay
Mass	misa de gallo
Mass	Misa de Gallo
cut down	hagbas
cut down	harbas
appropriate	harbat
wear out	hag-ot
glean	hagdaw
dare	hagit
gummy	hagkot
elder	manoy
barrio	Compostela
look away	lingyiw
your	imong
your	imohang
yours	imoha
your	inyong
yours	inyoha
your	inyohang
ours	atoa
our	atong
our	atoang
their	ilahang
theirs	ilaha
her	iyang
her	iyahang
hers	iyaha
figurine	pigurin
lie down	higda
mention	hisgot
frass	agan-an
game	hugada
correct	husto
sudden unexpected	niagi ang Ginoo
sudden unexpected	niagi ang anghel
use	walay gamit
living	pagpuyo
native	lumad
go	eskuwela
school	eskuwelahan
burp	dig-ab
praise	dayaw
precious	wagas
sinkhole	bung-aw
destitute	uyamot
destitute	ulyamot
ceiling	kisami
side bet	saybit
pair	piyat
memorize	sag-ulo
swear	hural
hole	busloton
bite mark	kinitkitan
drunken	hinubog
frame	kwadro
frame	kuwadro
money	dinaygonan
Christmas Day	bisperas sa Pasko
Christmas Day	bisperas sa pasko
dropbox	hulganan
drop	hulog
shabby	nagkagidlay
multiply	sanay
paw	kawkaw
touch	kamkam
stirring	kyawkyaw
lift	baswat
lift	aswat
lift	hangwat
good graces	mabalhiboan
brave	sungasong
current	sulog
smelly vagina	bahog bilat
smelly vagina	bahog buto
smelly penis	bahog oten
high status	dakong tae
high status	dagkong tae
dunk	hansak
jam	pansak
fall	dakdak
seal	sungsong
remove	tangtang
remove	tanggal
easily pleased	mubog kalipay
penniless	walay nahot
filament	nahot
devilish	yawan-on
gravelly	grabahon
glass jar	garapon
medicine bottle	garapa
shrink	kupos
shrink	kipos
confuse	sipok
millionaire	milyonaryo
millionaire	milyonarya
back to back	sunod-sunod
next	sunod
celebration	kasaulogan
celebrate	saulog
bad	daotan
defective	daot
confiscate	sakmit
whet	sam-id
worsen	samot
bra	samtoy
shabby	san-ot
producing little	sandaw
rest	sanday
Citrullus lanatus	sandiya
fake saint	santita
intimate	sanuod
cemented	sementado
common sense	sentido komun
common	komun
saintly	santoson
holy	santisimo
snatch	signit
infrastructure	imprastraktura
truant	bulakbol
observation	paniid
block	salipod
shart	utot dala unod
shart	utot dala sungo
attention seeker	kuwang sa tagad
mentally challenged	kuwang-kuwang
mentally challenged	kulang-kulang
hardworking	naning
celebrated	bantogan
Masbate	Burias
Masbate City	Masbate
envious	suyaon
deliberately avoid payment	mamukong
partner	kapares
impudent	walay uwaw
impudent	walay ulaw
shame	uwaw
situation	sitwasyon
inspiration	inspirasyon
speculation	spekulasyon
attract	atraksyon
assassination	asasinasyon
commemoration	komemorasyon
concentration	konsentrasyon
conclusion	konklusyon
connection	koneksyon
detonation	detonasyon
federation	pederasyon
immigration	imigrasyon
instruction	instruksyon
option	opsiyon
opposition	oposisyon
pollution	polusyon
prediction	prediksyon
prevention	prebensiyon
reaction	reaksyon
circulation	sirkulasyon
reincarnation	reinkarnasyon
temptation	tentasyon
regulation	regulasyon
moderation	moderasyon
modernization	modernisasyon
translation	translasyon
illogical	ilohikal
surreal	suryal
logical	lohikal
rational	rasyonal
revelation	rebelasyon
crop up	gitib
sine	lidpa
cosine	kalidpa
secant	duhabok
cosecant	kaduhabok
cotangent	kaliras
dance	sinulog
wooden	kahoyon
slice	gutgot
cancel	kanselar
decree	kamandoan
brave	arisgar
risk	risgo
across	labangon
cross	labang
Christmassy	paskohanon
gabble	katab
gangly	lagwis
lanky	gangkaw
lanky	balaghoy
lanky	mantiw
lanky	waklay
lanky	yagkaw
denture	postiso
bridgework	marpil
jurisdiction	hurisdiksyon
spoon-feed	hungit
put	duom
convict	konbikto
count	kwentada
transaction	transaksyon
questionable	kwestyonable
connotation	konotasyon
denotation	denotasyon
verify	beripikasyon
transact	transak
simplification	simplipikasyon
inculcation	inkulkasyon
implication	implikasyon
tarmac	tarmak
vulgar	law-ay
squash	law-oy
squash	utan bisaya
recipe	pinadagan
spit	luwaan
chewed	inusap
spit	mangluwa
copied	kinopya
copied	sinuno
copied	sinundog
plagiarize	manundogay
pressure	presyur
elimination	eliminasyon
insemination	inseminasyon
champion	kampeyon
champion	kampyon
championship	kampeyonato
relocation	relokasyon
contextualization	kontekstwalisasyon
act	lokalisasyon
specialist	espesyalista
irrigation	irigasyon
application	aplikasyon
publication	publikasyon
technical	teknikal
practical	praktikal
kneecap	tuwaytuway
explanation	eksplinasyon
explanation	eksplanasyon
unskilled	walay alamag
meanwhile	samtang
meanwhile	miyentras
handsome	ambongan
shack	ambong
dispatcher	dispatser
familiar	pamilyar
devotee	deboto
regularization	regularisasyon
deliberation	deliberasyon
contractualization	kontraktwalisasyon
contractual	kontraktwal
writer	tagsulat
impetigo	talipaso
employee	empleyado
employee	empleyada
above	ibabaw
surface	igbaw
leprosy	lansaro
top	babaw
increase	patong
athlete's foot	dalipunga
urticaria	urtikarya
eczema	yabon
ringworm	bugais
engineer	enhinyero
engineer	inhenyero
engineer	inhenyera
engineer	enhinyera
engineer	endyiner
federalism	pederalismo
dictatorship	diktadorya
dictator	diktador
dictatorship	diktadora
slack-water	lanatad
flood tide	bulalas
sly	guwatsi
potion	gutas
tuberculosis	gitisis
century	gatosay
castigate	kastigo
castigated	gikastigo
castigate	kastigohon
demolition	demolisyon
failure	kapakyasan
fail	pakyas
earnings	kinitaan
object	gihalaran
cling	takboy
dreams	pangandoy
dreams	gipangandoy
firm	bagtok
dimple	dimpol
hard	pak-il
firm	bagtik
stiff	kaging
hard	lag-id
establishment	establisemento
establishment	establisamento
constitution	konstitusyon
constitution	batakang balaod
favor	pabor
infection	impeksyon
inspection	inspeksyon
ritual	ritwal
selection	seleksyon
votation	botasyon
election	piliay
section	seksyon
abortion	aborsyon
root crop	lagutom
tuber	salag-on
by chance	salagma
chance upon	salagmaan
historical	salaysayon
psychological	sikolohikanhon
psychology	sikolohiko
sweep	silhigan
crested	silikan
syllogism	silohismo
solution	solusyon
chance upon	sulagmaan
bleed	sulgan
servant	sulugoon
constantly	sa kanunay
likewise	sa sama
realism	reyalismo
realist	reyalista
swaddling clothes	sagmon
deject	sagmuyo
embrace	sagukom
differentiate	sahinon
differ	sahi
stay	sak-an
virgin	donselya
institution	institusyon
chaste	luaryang
chaste	tulakhang
hold	sakgom
press	sukna
prepare	sakom
witness	saksihan
witness	makasaksi
patriarch	patriarka
pure	purisima
prawn cracker	kropek
sedition	sedisyon
excursion	ekskursiyon
small change	sensiyo
rob	hold-ap
bigamy	bigamya
convent	konbento
convent	kombento
straight	bulanos
trustee	sinaligan
prayer	harito
safety shot	hirada
draw	hirit
fail	hurat
idle threat	hudlat
threat	hulga
threaten	talhog
wherein	sa diin
abed	sa higdaanan
abdominal	sa tiyan
bed	higdaanan
chaise longue	butaka
beneficiary	benepisyaryo
water	bisbis
sprinkle	dam-og
wash	dam-ot
dazzle	samaw
swollen lymph node	lisayan
swollen lymph node	lusayan
tenant farmer	samuhan
dizzy	sanaw
weigh down	sanuoy
platform	saogan
pollen	sanayan
partake	saw-an
dive	sawom
sound	sawon
equal	pareho
trillion	trilyon
question	kwestiyon
at fault	sad-an
injure	sakitan
infirm	sakitanon
dilute	saktan
plain as day	klaro kaayo sa patern
detail	detalye
betting shop	pataranan
silky	sidahon
urban	siyudadnon
starting point	sugdanan
collectible	suktonon
inquire	sukot
suggestion	suhestyon
get together	panagtigom
convention	tigom
billion	bilyon
ballroom	sayawanan
dance	sayawan
shelf	sayhanan
according to	matod
session	sesyon
cheekily	siawan
eyes	sigahon
concern	sigamno
barrage	sigehan
fish pen	bunsod
fish pen	bungsod
cinnamon	sinamon
siko	sikhanay
siko	sinikohay
rice cake	bingka
vulva	bingkang liki
vulva	bibingkang liki
net shuttle	sikohan
barbed	simaan
bohemian	bohemyo
Bohemian	Bohemyo
giantess	higanta
traitor	hudas
pensioner	pensyonado
pensioner	pensyonada
pension	pensyon
chimney	simaniya
mouthful	simuaw
glossy	sinawon
weekly	sinemana
monthly	binuwan
year	tinuig
daily	inadlaw
implicate	implikar
loincloth	bajag
disposition	disposisyon
cooperation	kooperasyon
corporation	korporasyon
anticipation	antisipasyon
amplification	amplipikasyon
hepatitis	hepa
aneurysm	anyurismo
congregation	kongregasyon
zinnia	sinya
zinnia	plordilis
zinnia	plurdilis
Tagetes erecta	ahito
globe amaranth	pingganpinggan
globe amaranth	bukinggan
genus	kamelya
daughter	Bebang
Alfredo	Pedong
Andrea	Andring
Andres	Andoy
Macaria	Makring
Alfonso	Ponsing
Anastacio	Tasyo
Anastacia	Tasya
Catalina	Taying
Bonifacio	Pasyo
child	Amay
Luisa	Isang
diminutive	Baning
Terry	Tiray
Eusebia	Ebyang
mestiza	Tisay
mestizo	Tisoy
Marian	Marianing
Aurora	Auring
Renato	Natoy
Cristina	Tinang
Porferio	Peryong
Mateo	Yoyong
J	Jiji
Celedonio	Donyong
Eleuterio	Teryo
Macaria	Karet
Perfecto	Pektoy
Isabel	Abet
Julia	Juling
Condrado	Condring
civilization	sibilisasyon
civilized	sibilisado
hypothesis	hipotesis
verbose	berboso
dad bod	minyo og lawas
excursion	pahayahay
Celedonio	Donying
Amaranthus tricolor	dalaura
Congo jute	dalupang
turmeric	dulaw
turmeric	duwaw
Fructuosa	Tosing
Asuncion	Ason
Concepcion	Conching
fall	limbarok
Teofila	Pilang
fall	linsuwak
fall	tuwang
slanting	bahirig
varicose vein	barikos
fifty	sikwenta
fifty	singkwenta
fifty	kalimaan
fifty	kalim-an
Teofilo	Pilo
saddle	siyahan
nine	nuybe
one hundred	siyen
illuminate	sug-an
immerse	sugmaw
dejected	sugmoy
teaser	sugsogan
teaser	sungogan
tease	sungog
tease	sugsog
series	serye
rumble	rambol
busybody	himantayon
discipline	disiplina
discipline	pitol
angry	suk-anon
stubborn	sukihan
socket	suksokanan
according to	sumala
bore	sumhan
monotonous	sum-ol
sonnet	sunanoy
tuberose	asusena
tuberose	asusina
typeset	emplanar
galley proof	emplanasyon
adolescent rooster	labuyo
saddle feather	pangampis
breast	sus-an
feeding bottle	sus-anan
akin	susama
inspect	susihon
overeat	swakan
slash	suyakan
Ella	Elyang
ika-8	ikawalo
successive	sagunson
successive	segidas
conceive	samkon
pesky	samokan
bother	samokon
disturb	samok
rehearse	sanasana
roaster	sangaganan
outcome	sangkoan
task	sangonan
fastidious	asyoso
fussing	asyos
Pacita	Cita
technology	teknolohiya
eight time	makawalo
encyclopedia	ensayklopedya
encyclopedia	ensiklopedya
thesaurus	tesawro
collection	bokabularyo
meal	hatsit
dictionary	diksyonaryo
directory	direktoryo
daughter	Gaga
Generoso	Gener
Keith	Kitoy
Patricia	Patring
Vincent	Bintoy
Olga	Oging
exaggeration	eksaherasyon
exorcism	eksorsismo
exaggerated	eksaherado
wax heroics	magpakahero
drive away	huraw
Epifania	Panyang
Epifanio	Panyong
nightfall	sawumsom
nightfall	salumsom
munch	simasima
conjoined twin	singin
himself	siya mismo
stove	sug-angan
trivet	sug-ang
equal	parehas
identical	pareha
equal	parehos
identical	kapareha
identical	kaparehas
identical	kapareho
identical	kaparehos
post	paskin
incise	busisi
dissect	disdis
mimic	sumaysumay
mannerism	manerismo
dad bod	mura og minyo
downy	gapason
gangplank	andamyo
burn	sunogon
close	sunson
unicornfish	sunghan
snapper	ahaan
sillago	alasuos
bring	dad-on
bring	dalaon
bring	dalahon
expect	dahom
trevally	adlo
walking catfish	aguk-ok
constellation	konstelasyon
butterflyfish	alibangbangon
swordfish	amamaspas
sawfish	amaspas
stingray	kiyampaw
barracuda	panghalwan
barracuda	bat-og
barracuda	awho
triggerfish	ampapagot
goby	ananambo
keep watch	apong
whiting	asuhos
molar	bag-angan
Rallina eurizonoides	baghak
black jack	baho ulo
black jack	mamsa
giant trevally	talakitok
untidy	bulingot
line	badlis
goatfish	bakanbakan
cheese	kisiyo
Francisca	Pransing
Teresita	Sitang
daughter	Gingging
Josephine	Sepin
Arsenio	Arsing
Maricel	Marsing
Felicisimo	Pelising
Felicidad	Idad
Felicidad	Edad
Soledad	Soling
Jessica	Ikang
Rebecca	Bekang
Rebecca	Bekay
April	Eplong
Domingo	Domeng
Domingo	Doming
Mona	Moning
Celestino	Tinong
whale shark	balilan
whale shark	tawiki
rainbow runner	bansikol
clownfish	bantay butbot
climbing perch	bartuniko
pipefish	bayobayo
hopscotch	bikabika
hammerhead shark	bingkongan
genus	mobula
stinger	binsol
goatfish	bisugo
goatfish	salmuniti
goatfish	timbungan
pufferfish	panabogan
pufferfish	tikong
Vicente	Inting
Vicente	Enting
Vincent	Intoy
Delia	Deling
Francisco	Kiking
debris float	putpot
skipjack tuna	budlisan
thin	budlis
kawakawa	mangko
drunk	tuling
filefish	bulaknita
enough	nanimahong kuwang
enough	nanimahong kulang
soldierfish	linggiro
bigeye	bulgan
hardpressed	bulibuli
round herring	bulinabid
syllabication	silabikasyon
study	ortograpiya
phonology	ponolohiya
morpheme	morpolohiya
diphthong	diptonggo
diphthong	duhanog
diphthong	sikpat
phoneme	ponema
morpheme	morpema
halfbeak	buloy
halfbeak	saluwasid
halfbeak	sawasid
halfbeak	bunog
northern snakehead	bunogbunog
yellowfin tuna	barilis
fingerling	bunwag
bangus fingerling	kugaw
Deborah	Borang
Antolin	Tolindoy
Stephen	Tepoy
Jeremy	Emoy
Nico	Nikoy
Mico	Mikoy
Teofilo	Pilokoy
Daniel	Dandan
Reagan	Gangan
Manny	Manman
Susan	Sansan
Adrian	Yanyan
Dennis	Denden
Jennifer	Jenjen
Kenneth	Kenken
Belen	Lenlen
Rainer	Renren
nickname	Penpen
Relyn	Yenyen
Dinah	Dindin
Gretchen	Chinchin
Gina	Gingin
Jane	Jinjin
Mina	Minmin
Christine	Tintin
Donald	Dondon
Byron	Ronron
Abraham	Hamham
Ramil	Ramram
Samantha	Samsam
Remy	Remrem
Isabel	Bingbing
Rogelio	Yongyong
Ernesto	Erning
John	Janjan
